"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","300","0.03355458915083543","9.653543907835507","5","4.0638655909122206E7","10","1.821505200470561E8"
"2","300","0.04415960936903945","6.444724193179217","5","9.445016030913521E8","10","1.5257547326018126E9"
"3","300","0.04882887006942855","3.2786297398336766","5","4.93372813736071E9","10","7.560196797351865E9"
"4","300","0.03393606469825284","7.056153200579843","5","1.2416099375500874E8","10","4.9667413512130535E8"
"5","300","0.13232623788815137","9.826428625925079","5","4.58693419283869E10","10","4.562905662976979E10"
