"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","4","0.6052643625543602","10.920805676356146","4","303990.3678906446","8","303787.967025563"
"1","12","0.6037232013427939","10.920805676356146","4","303525.5317856408","8","303458.1019934151"
"1","20","0.6037232013427939","8.733272297245747","4","302325.65176114364","8","303091.78261044854"
"1","24","0.3947356374456397","8.71602960250248","4","292139.4191964505","8","293211.5327467536"
"1","36","0.3865110246433204","8.71602960250248","4","290884.36329478025","8","292361.3439695245"
"1","52","0.3865110246433204","8.90905622949569","4","290169.4194151277","8","291620.71657169337"
"1","80","0.01142900740062562","8.90905622949569","4","113554.95033619442","8","124274.57227053985"
"1","88","0.051056687266346226","8.90905622949569","4","40814.08058853826","8","41534.086789632915"
"1","136","0.04267948424505989","9.036011291676203","4","18726.51377769091","8","16816.749029961604"
"1","164","0.04267948424505989","8.723506523231862","4","16642.513760198606","8","9734.77089362999"
"1","192","0.019806210421911954","8.725795376516366","4","15032.090549710178","8","13428.531920842332"
"1","232","0.023147936217288473","8.7256427862974","4","9624.537771136442","8","16394.912028390492"
"1","240","0.023224231326771955","8.7256427862974","4","4356.867363456724","8","12843.753588519583"
"2","4","0.011978332188906692","9.411230640115969","4","98534.90920602152","8","102141.11795371713"
"2","8","0.019256885633630885","9.385748073548486","4","22992.49436708435","8","30913.359394811006"
"2","12","0.017837796597238116","9.327153429465172","4","19314.593376307224","8","35333.711809112836"
"2","52","0.017914091706721598","9.235446707866025","4","18273.002665778098","8","36713.800649639175"
"2","68","0.017914091706721598","10.2646677347982","4","17551.23376754427","8","25501.60884238023"
"2","88","0.017914091706721598","10.270160982681011","4","13626.728946014278","8","29788.197230552163"
"2","100","0.017959868772411687","10.270160982681011","4","13532.490996477281","8","23802.502553014492"
"2","208","0.02186617837796597","10.270160982681011","4","8538.318285117828","8","18965.30359433779"
"2","212","0.021881437399862667","10.274891279468987","4","7806.658479241392","8","11628.499160193911"
"2","228","0.021881437399862667","10.31898985275044","4","6116.345294530416","8","18962.245309529128"
"2","296","0.021881437399862667","10.333485923552301","4","5501.015179819486","8","9724.223862179148"
"3","4","0.010055695429922943","10.60189211871519","4","141977.7415564421","8","154053.75445919338"
"3","20","0.021179522392614634","10.60189211871519","4","16762.048996939673","8","12703.906835385977"
"3","28","0.021179522392614634","10.577935454337377","4","14835.900910971483","8","7937.666711062688"
"3","36","0.021179522392614634","10.57778286411841","4","12629.51413413501","8","11613.637650776669"
"3","64","0.02119478141451133","10.577630273899443","4","9332.499220876954","8","12435.572747061582"
"3","88","0.021149004348821242","10.577172503242542","4","5188.4773330702155","8","10404.494561830666"
"3","256","0.021149004348821242","10.577325093461509","4","5065.435064139776","8","13947.387987018461"
