"search-number","evaluation","carrying-capacity*","number-of-fishers*","exploration-probability*","price-of-fish*","hourly-costs*","speed*","catchability*","diffusion-rate*","exploration-radius*","growth-rate*","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","update-plots?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","600","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","3","-3","4","false","4","896664.869029951","16","902459.8330957309"
"2","600","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-3","4","-1","5","false","4","776316.3526168785","16","774909.6734533029"
"3","600","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","5","-4","2","false","4","887475.4427969684","16","861862.976808732"
"4","600","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","2","5","-1","4","false","8","858520.4643615547","16","810407.8304332803"
"5","600","4000","25","0.021","80","50","0.5","0.2","0.002","10.578","0.1","-5","5","-3","3","false","4","935299.3793350797","16","910820.8409498772"
