"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"53","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2","8760","743370.4188013815"
"54","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2","8760","620470.9230535076"
"55","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2","8760","621767.5668435907"
"56","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.1","8760","688564.07955923"
"57","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.1","8760","693629.7343470454"
"58","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.1","8760","615678.1133377369"
"59","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.1","8760","631046.9906885785"
"60","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.1","8760","651339.1841676595"
"61","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.2","8760","679286.8844101658"
"62","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.2","8760","695753.172966789"
"63","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.2","8760","677509.3240846719"
"64","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.2","8760","793956.7632106051"
"65","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.2","8760","719189.7566919618"
"66","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.3","8760","646196.5776475674"
"67","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.3","8760","750709.6264179063"
"68","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.3","8760","674457.4341399579"
"70","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.3","8760","638953.8368372521"
"69","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.3","8760","692378.348448209"
"71","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.4","8760","630276.2157319406"
"73","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.4","8760","705337.8759936433"
"72","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.4","8760","672424.9756315004"
"74","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.4","8760","668058.6017881276"
"75","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.4","8760","690223.5232133154"
"76","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.5","8760","702534.6150924506"
"77","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.5","8760","683298.1964281771"
"78","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.5","8760","700109.6895914644"
"79","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.5","8760","628233.8469815118"
"81","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.6","8760","686232.2459811239"
"80","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.5","8760","696893.8463991903"
"82","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.6","8760","709518.7390272018"
"83","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.6","8760","668873.3483164046"
"85","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.6","8760","689079.1524563383"
"84","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.6","8760","668150.7348089922"
"86","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.7","8760","646896.7674100347"
"87","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.7","8760","661034.3325628788"
"89","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.7","8760","671467.7968243792"
"88","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.7","8760","676268.1131549563"
"90","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.7","8760","698690.8436523688"
"91","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.8","8760","696367.1709909086"
